"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX","DRIVE_CHARGE","MARKETING_FEES","STOREFRONT_TRANSACTION_FEES","STOREFRONT_DELIVERY_FEES","STAFF_TIPS","ERROR_CHARGES","ADJUSTMENTS","TOTAL_BEFORE_ADJUSTMENTS","ESTIMATED_PAYOUT","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
87680,"Cheebo Hollywood",52235,"NULL","2021-09-20","2021-09-26",2668.20,253.57,602.10,0.00,0.00,0.00,14.58,0.00,0.00,60.70,189.16,2244.39,2433.55,0.00,2668.20,9.63,0.00
544328,"Angel Wings Hollywood",251575,"NULL","2021-09-21","2021-09-26",346.95,32.97,97.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.31,282.78,301.09,0.00,346.95,0.00,0.00
544757,"Chuck's Chicken & Waffles Hollywood",288674,"NULL","2021-09-24","2021-09-26",116.50,11.08,32.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.46,95.46,0.00,116.50,1.70,0.00
544758,"Hollywood Wraps Hollywood",209813,"NULL","2021-09-20","2021-09-26",304.70,28.95,82.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.92,251.08,265.00,0.00,304.70,0.00,0.00
544762,"Oscar's Pancake Bar Hollywood",251607,"NULL","2021-09-21","2021-09-26",237.90,22.62,66.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,193.90,208.70,0.00,237.90,0.00,0.00
544767,"Sunset Beach Fish & Chips Hollywood",251112,"NULL","2021-09-21","2021-09-25",197.20,18.74,55.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.73,160.73,0.00,197.20,0.00,0.00
544813,"Pizzaroo Pizzas Hollywood",251115,"NULL","2021-09-21","2021-09-26",109.15,10.38,30.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.95,88.95,0.00,109.15,0.00,0.00
544815,"Sierra Bonita Mexican Grill Hollywood",251573,"NULL","2021-09-22","2021-09-25",153.10,14.55,42.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.78,124.78,0.00,153.10,0.00,0.00
545354,"Cheebo's Burger Stand Hollywood",252489,"NULL","2021-09-21","2021-09-26",135.85,12.91,38.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.73,110.73,0.00,135.85,0.00,0.00
637499,"Surf City Wings DTLA",294695,"NULL","2021-09-26","2021-09-26",-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,-5.00,0.00,0.00,0.00,0.00
875134,"Cheebo Express WEHO + Beverly Hills",393555,"NULL","2021-09-21","2021-09-26",530.20,50.40,159.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421.48,421.48,0.00,530.20,1.40,0.00
